iter	Passed	Remaining
0	1	170
1	2	137
2	3	123
3	4	108
4	5	106
5	6	103
6	7	101
7	8	99
8	9	98
9	10	97
10	11	96
11	13	95
12	14	94
13	15	92
14	16	91
15	17	90
16	18	89
17	19	87
18	20	86
19	21	84
20	22	83
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	74
29	31	73
30	32	73
31	33	71
32	34	70
33	35	69
34	37	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	61	40
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	88	12
88	90	11
89	91	10
90	92	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
